2015-mai-19 12:17:14.311 INFO	core	group_by now set to 12  for view  "-Roles -" [src\models\dwarfmodel.cpp:746] (set_group_by)
2015-mai-19 12:17:14.313 INFO	core	group_by now set to 12  for view  "-Military-" [src\models\dwarfmodel.cpp:746] (set_group_by)
2015-mai-19 12:17:14.315 INFO	core	group_by now set to 12  for view  "-Social-" [src\models\dwarfmodel.cpp:746] (set_group_by)
2015-mai-19 12:17:14.316 INFO	core	group_by now set to 12  for view  "-Labor-" [src\models\dwarfmodel.cpp:746] (set_group_by)
2015-mai-19 12:17:14.316 INFO	core	"redrew views in 8ms" [src\viewmanager.cpp:321] (draw_views)
2015-mai-19 12:17:14.343 INFO	core	FOUND 277 squads [src\dfinstance.cpp:821] (load_squads)
2015-mai-19 12:17:14.345 INFO	core	FOUND ACTIVE SQUAD "0x22b07140" "Women"  member count:  1  id:  275 [src\dfinstance.cpp:835] (load_squads)
2015-mai-19 12:17:14.346 INFO	core	FOUND ACTIVE SQUAD "0x22b07578" "Training Men"  member count:  0  id:  279 [src\dfinstance.cpp:835] (load_squads)
2015-mai-19 12:17:14.347 INFO	core	FOUND ACTIVE SQUAD "0x22b076e0" "Marks"  member count:  0  id:  280 [src\dfinstance.cpp:835] (load_squads)
2015-mai-19 12:17:14.348 INFO	core	FOUND ACTIVE SQUAD "0x22b07b18" "Noob Marks"  member count:  5  id:  284 [src\dfinstance.cpp:835] (load_squads)
2015-mai-19 12:17:14.348 INFO	core	current year: 1059 [src\dfinstance.cpp:345] (load_dwarves)
2015-mai-19 12:17:14.348 INFO	core	using active units [src\dfinstance.cpp:888] (get_creatures)
2015-mai-19 12:17:14.349 INFO	core	Ignoring id: 18144 name: "'Gemmer' Inkquill" who appears to be "Dead, Jim." flags: 2147500035 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.349 INFO	core	Ignoring id: 18145 name: "'Major' Shieldinched" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.350 INFO	core	Ignoring id: 18146 name: "'Keeper' Pineroof" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.350 INFO	core	Ignoring id: 18147 name: "'Smith' Archlauded" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.350 INFO	core	Ignoring id: 18148 name: "'Clumzy' Knifehame" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.350 INFO	core	Ignoring id: 18149 name: "'Mech' Leanbasements" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.350 INFO	core	Ignoring id: 18150 name: "'Doc' Packlances" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.350 WARNING	core	vector at "0x018eb9b8" has over 50.000 entries! ( 150677 ) [src\dfinstance.cpp:148] (check_vector)
2015-mai-19 12:17:14.503 INFO	core	FOUND BEAST "0x1c26ce20" "Dog (Stukos Stopglaze)" 18151 [src\dfinstance.cpp:375] (load_dwarves)
2015-mai-19 12:17:14.503 INFO	core	Ignoring id: 18152 name: "Unknown" who appears to be "Dead, Jim." flags: 75530242 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.503 INFO	core	Ignoring id: 18153 name: "Unknown" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.503 INFO	core	Ignoring id: 18154 name: "Unknown" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18155 name: "Unknown" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18156 name: "Unknown" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18157 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18158 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18159 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18160 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18161 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.504 INFO	core	Ignoring id: 18162 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.505 INFO	core	Ignoring id: 18163 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.505 INFO	core	Ignoring id: 18164 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.505 INFO	core	Ignoring id: 18165 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.505 INFO	core	Ignoring id: 18166 name: "Unknown" who appears to be "Dead, Jim." flags: 67125251 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.505 INFO	core	Ignoring id: 18167 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.505 INFO	core	Ignoring id: 18168 name: "Unknown" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.506 INFO	core	Ignoring id: 9097 name: "Tekkud Helmtome" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.506 INFO	core	Ignoring id: 13969 name: "'Superstrong' Lashclench" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.506 INFO	core	Ignoring id: 18276 name: "Unknown (Thikut Oilsandal)" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.506 INFO	core	Ignoring id: 13116 name: "Iton Axenations" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.506 INFO	core	Ignoring id: 18277 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.506 INFO	core	Ignoring id: 18278 name: "Unknown" who appears to be "Dead, Jim." flags: 67125250 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.507 INFO	core	FOUND BEAST "0x1f667788" "Cat (Cilob Portalflicker)" 18324 [src\dfinstance.cpp:375] (load_dwarves)
2015-mai-19 12:17:14.507 INFO	core	Ignoring id: 18325 name: "Unknown" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.507 INFO	core	Ignoring id: 9095 name: "Thob Zealpages" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.507 INFO	core	Ignoring id: 9089 name: "Asmel Channeledrope" who appears to be "Dead, Jim." flags: 2147536898 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.507 INFO	core	Ignoring id: 2638 name: "Mebzuth Searchearth" who appears to be "Dead, Jim." flags: 2147532810 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.507 INFO	core	Ignoring id: 2640 name: "'Stoner' Tradedclean" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 18760 name: "Unknown" who appears to be "Dead, Jim." flags: 67125251 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 18761 name: "Unknown" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 2636 name: "Ushrir Paintpoints" who appears to be "Dead, Jim." flags: 2147536898 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 2719 name: "'Ranger' Bootsoul" who appears to be "Dead, Jim." flags: 2147532803 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 18795 name: "Unknown (Ducim Handlesieged)" who appears to be "Dead, Jim." flags: 67158019 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 18796 name: "Unknown (Fath Paddledwads)" who appears to be "Dead, Jim." flags: 67158018 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 9086 name: "Stinthad Inkypass" who appears to be "Dead, Jim." flags: 2155921411 [src\dwarf.cpp:249] (has_invalid_flags)
2015-mai-19 12:17:14.508 INFO	core	Ignoring id: 18674 name: "Stukos Flaxcanyon" who appears to be "Dead, Jim." flags: 2147532802 [src\dwarf.cpp:249] (has_invalid_flags)
